Number,Participant,Task,Start_Time,End_Time,E_Pos
1,P1,TS,32,51,
1,P1,N,78,97,
1,P1,L,130,147,
1,P1,HE,237,279,
1,P1,S,308,333,
1,P1,TS,368,403,
1,P1,L,430,450,
1,P1,HE,489,513,
1,P1,S,569,588,
1,P1,N,608,635,
2,P2,S,35,91,
2,P2,L,94,116,
2,P2,TS,116,147,
2,P2,HE,148,178,
2,P2,N,179,207,
2,P2,TS,208,248,
2,P2,HE,148,178,
2,P2,L,179,207,
2,P2,N,208,248,
2,P2,S,208,248,
3,P3,L,178,218,
3,P3,S,268,337,
3,P3,TS,100,174,
3,P3,N,54,76,
3,P3,HE,220,260,
3,P3,TS,373,423,
3,P3,L,431,480,
3,P3,N,330,368,
3,P3,S,543,612,
3,P3,HE,482,543,
4,P4,TS,214,252,
4,P4,S,375,420,
4,P4,HE,318,352,
4,P4,L,260,300,
4,P4,N,635,669,
4,P4,L,537,594,
4,P4,N,635,669,
4,P4,S,470,495,
4,P4,TS,600,634,
4,P4,HE,496,532,
5,P5,HE,1762,1798,
5,P5,S,1690,1732,
5,P5,TS,1865,1920,
5,P5,L,1801,1854,
5,P5,N,1640,1681,
5,P5,L,2018,2062,
5,P5,HE,1982,2014,
5,P5,N,2108,2147,
5,P5,TS,2068,2107,
5,P5,S,1930,1978,
6,P6,L,333,404,
6,P6,TS,237,323,
6,P6,HE,408,470,
6,P6,N,21,121,
6,P6,S,475,548,
6,P6,L,557,616,
6,P6,N,819,880,
6,P6,S,675,737,
6,P6,HE,620,674,
6,P6,TS,738,818,
7,P7,N,6,144,
7,P7,TS,145,224,
7,P7,L,224,280,
7,P7,HE,280,348,
7,P7,S,348,411,
7,P7,HE,411,481,
7,P7,L,481,530,
7,P7,S,530,583,
7,P7,N,6,144,
7,P7,TS,583,650,
8,P8,S,5,60,
8,P8,L,98,155,
8,P8,HE,155,250,
8,P8,N,350,380,
8,P8,TS,251,314,
8,P8,HE,381,470,
8,P8,N,491,584,
8,P8,S,776,840,
8,P8,L,590,775,
8,P8,TS,850,980,
9,P9,N,13,87,
9,P9,S,87,124,
9,P9,HE,125,186,
9,P9,TS,186,240,
9,P9,L,241,270,
9,P9,S,271,293,
9,P9,HE,293,316,
9,P9,L,316,334,
9,P9,TS,335,366,
9,P9,N,13,87,
10,P10,TS,52,94,
10,P10,HE,160,192,
10,P10,N,94,126,
10,P10,S,127,160,
10,P10,L,192,233,
10,P10,TS,233,271,
10,P10,L,271,285,
10,P10,N,94,126,
10,P10,HE,160,192,
10,P10,S,127,160,
11,P11,TS,6,59,
11,P11,S,60,80,
11,P11,HE,80,108,
11,P11,L,109,140,
11,P11,N,140,166,
11,P11,TS,167,213,
11,P11,N,214,247,
11,P11,S,248,278,
11,P11,HE,278,306,
11,P11,L,306,333,
12,P12,S,5,115,
12,P12,TS,118,135,
12,P12,L,160,192,
12,P12,N,205,235,
12,P12,HE,240,260,
12,P12,L,290,308,
12,P12,TS,308,351,
12,P12,N,352,384,
12,P12,S,384,411,
12,P12,HE,412,450,
13,P13,HE,8,79,
13,P13,N,83,112,
13,P13,TS,112,145,
13,P13,L,145,187,L
13,P13,S,194,250,
13,P13,TS,255,283,L
13,P13,HE,283,300,
13,P13,N,411,439,L
13,P13,L,350,377,L
13,P13,S,378,411,
14,P14,TS,5,125,
14,P14,S,125,160,
14,P14,HE,160,200,
14,P14,N,200,275,L
14,P14,L,275,310,
14,P14,S,310,378,L
14,P14,L,380,450,
14,P14,HE,465,560,
14,P14,TS,580,668,
14,P14,N,200,275,L
15,P15,N,0,52,
15,P15,TS,148,181,
15,P15,S,53,90,
15,P15,HE,121,147,L
15,P15,L,90,121,
15,P15,N,190,209,
15,P15,HE,209,250,
15,P15,L,251,280,
15,P15,S,281,330,
15,P15,TS,331,350,L
17,P17,S,23,80,
17,P17,HE,127,175,L
17,P17,N,175,216,
17,P17,TS,217,246,L
17,P17,L,246,273,
17,P17,HE,273,320,
17,P17,L,320,380,L
17,P17,N,380,398,
17,P17,TS,398,426,
17,P17,S,426,482,
18,P18,S,90,165,L
18,P18,N,230,280,
18,P18,TS,280,351,L
18,P18,L,165,230,L
18,P18,HE,2,90,L
18,P18,HE,351,462,
18,P18,S,540,573,
18,P18,L,462,540,
18,P18,N,573,621,
18,P18,TS,621,756,
19,P19,HE,1542,1573,
19,P19,N,1370,1401,
19,P19,L,1463,1498,L
19,P19,S,1498,1542,L
19,P19,TS,1401,1463,L
19,P19,HE,1750,1811,
19,P19,TS,1693,1750,
19,P19,L,1573,1630,
19,P19,S,1661,1693,
19,P19,N,1630,1661,
20,P20,N,292,324,
20,P20,S,324,426,L
20,P20,L,204,292,
20,P20,HE,112,204,L
20,P20,TS,5,112,
20,P20,L,567,620,
20,P20,N,427,486,
20,P20,S,487,567,
20,P20,TS,675,740,
20,P20,HE,621,675,L
21,P21,TS,32,51,
21,P21,N,78,97,
21,P21,L,130,147,
21,P21,HE,237,279,
21,P21,S,308,333,
21,P21,TS,368,403,
21,P21,L,430,450,
21,P21,HE,489,513,
21,P21,S,569,588,
21,P21,N,608,635,
22,P22,S,35,91,
22,P22,L,94,116,
22,P22,TS,116,147,
22,P22,HE,148,178,
22,P22,N,179,207,
22,P22,TS,208,248,
22,P22,HE,148,178,
22,P22,L,179,207,
22,P22,N,208,248,
22,P22,S,208,248,
23,P23,L,178,218,
23,P23,S,268,337,
23,P23,TS,100,174,
23,P23,N,54,76,
23,P23,HE,220,260,
23,P23,TS,373,423,
23,P23,L,431,480,
23,P23,N,330,368,
23,P23,S,543,612,
23,P23,HE,482,543,
24,P24,TS,214,252,
24,P24,S,375,420,
24,P24,HE,318,352,
24,P24,L,260,300,
24,P24,N,635,669,
24,P24,L,537,594,
24,P24,N,635,669,
24,P24,S,470,495,
24,P24,TS,600,634,
24,P24,HE,496,532,
25,P25,HE,1762,1798,
25,P25,S,1690,1732,
25,P25,TS,1865,1920,
25,P25,L,1801,1854,
25,P25,N,1640,1681,
25,P25,L,2018,2062,
25,P25,HE,1982,2014,
25,P25,N,2108,2147,
25,P25,TS,2068,2107,
25,P25,S,1930,1978,
26,P26,L,333,404,
26,P26,TS,237,323,
26,P26,HE,408,470,
26,P26,N,21,121,
26,P26,S,475,548,
26,P26,L,557,616,
26,P26,N,819,880,
26,P26,S,675,737,
26,P26,HE,620,674,
26,P26,TS,738,818,
27,P27,N,6,144,
27,P27,TS,145,224,
27,P27,L,224,280,
27,P27,HE,280,348,
27,P27,S,348,411,
27,P27,HE,411,481,
27,P27,L,481,530,
27,P27,S,530,583,
27,P27,N,6,144,
27,P27,TS,583,650,
28,P28,S,5,60,
28,P28,L,98,155,
28,P28,HE,155,250,
28,P28,N,350,380,
28,P28,TS,251,314,
28,P28,HE,381,470,
28,P28,N,491,584,
28,P28,S,776,840,
28,P28,L,590,775,
28,P28,TS,850,980,
29,P29,N,13,87,
29,P29,S,87,124,
29,P29,HE,125,186,
29,P29,TS,186,240,
29,P29,L,241,270,
29,P29,S,271,293,
29,P29,HE,293,316,
29,P29,L,316,334,
29,P29,TS,335,366,
29,P29,N,13,87,
30,P30,TS,55,94,
30,P30,HE,160,192,
30,P30,N,94,126,
30,P30,S,127,160,
30,P30,L,192,233,
30,P30,TS,233,271,
30,P30,L,271,285,
30,P30,N,94,126,
30,P30,HE,160,192,
30,P30,S,127,160,
31,P31,TS,6,59,
31,P31,S,60,80,
31,P31,HE,80,108,
31,P31,L,109,140,
31,P31,N,140,166,
31,P31,TS,167,213,
31,P31,N,214,247,
31,P31,S,248,278,
31,P31,HE,278,306,
31,P31,L,306,333,
32,P32,S,5,115,
32,P32,TS,118,135,
32,P32,L,160,192,
32,P32,N,205,235,
32,P32,HE,240,260,
32,P32,L,290,308,
32,P32,TS,308,351,
32,P32,N,352,384,
32,P32,S,384,411,
32,P32,HE,412,450,
33,P33,HE,8,79,
33,P33,N,83,112,
33,P33,TS,112,145,
33,P33,L,145,187,L
33,P33,S,194,250,
33,P33,TS,255,283,L
33,P33,HE,283,300,
33,P33,N,411,439,L
33,P33,L,350,377,L
33,P33,S,378,411,
34,P34,TS,5,125,
34,P34,S,125,160,
34,P34,HE,160,200,
34,P34,N,200,275,L
34,P34,L,275,310,
34,P34,S,310,378,L
34,P34,L,380,450,
34,P34,HE,465,560,
34,P34,TS,580,668,
34,P34,N,200,275,L
35,P35,N,0,52,
35,P35,TS,148,181,
35,P35,S,53,90,
35,P35,HE,121,147,L
35,P35,L,90,121,
35,P35,N,190,209,
35,P35,HE,209,250,
35,P35,L,251,280,
35,P35,S,281,330,
35,P35,TS,331,350,L
37,P37,S,23,80,
37,P37,HE,127,175,L
37,P37,N,175,216,
37,P37,TS,217,246,L
37,P37,L,246,273,
37,P37,HE,273,320,
37,P37,L,320,380,L
37,P37,N,380,398,
37,P37,TS,398,426,
37,P37,S,426,482,
38,P38,S,90,165,L
38,P38,N,230,280,
38,P38,TS,280,351,L
38,P38,L,165,230,L
38,P38,HE,2,90,L
38,P38,HE,351,462,
38,P38,S,540,573,
38,P38,L,462,540,
38,P38,N,573,621,
38,P38,TS,621,756,
39,P39,HE,1542,1573,
39,P39,N,1370,1401,
39,P39,L,1463,1498,L
39,P39,S,1498,1542,L
39,P39,TS,1401,1463,L
39,P39,HE,1750,1811,
39,P39,TS,1693,1750,
39,P39,L,1573,1630,
39,P39,S,1661,1693,
39,P39,N,1630,1661,
40,P40,N,292,324,
40,P40,S,324,426,L
40,P40,L,204,292,
40,P40,HE,112,204,L
40,P40,TS,5,112,
40,P40,L,567,620,
40,P40,N,427,486,
40,P40,S,487,567,
40,P40,TS,675,740,
40,P40,HE,621,675,L
